// Compost colors for youkaishomecoming. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_handrail, #fff2da
affogato, #ffffff
americano, #ffffff
apaki, #e7c69a
assorted_dango, #fef5e8
avgolemono, #ffffff
bamboo_handrail, #ffffe8
bamboo_mizuyokan, #ffffff
big_popsicle, #e7ffff
birch_handrail, #ffffff
black_ball_danmaku, #ffffff
black_bubble_danmaku, #ffffff
black_butterfly_danmaku, #ffffff
black_circle_danmaku, #ffffff
black_laser, #ffffff
black_mentos_danmaku, #ffffff
black_tea, #ffffff
black_tea_leaves, #dddad4
blazing_red_curry, #ffeacf
blood_bottle, #ffffff
blood_curd, #ffffff
blue_ball_danmaku, #ffffff
blue_bubble_danmaku, #ffffff
blue_butterfly_danmaku, #ffffff
blue_circle_danmaku, #ffffff
blue_laser, #ffffff
blue_mentos_danmaku, #ffffff
bowl_of_cream, #fffff4
bowl_of_flesh_feast, #e7cabc
bowl_of_heart_throbbing_surprise, #ffe3ca
brown_ball_danmaku, #ffffff
brown_bubble_danmaku, #ffffff
brown_butterfly_danmaku, #ffffff
brown_circle_danmaku, #ffffff
brown_laser, #ffffff
brown_mentos_danmaku, #ffffff
bun, #fffffa
butter, #fffffb
can, #ffffff
candy_apple, #ffe4e0
canned_flesh, #ffffff
cappuccino, #ffffff
cherry_handrail, #ffffff
chest_of_heart_throbbing_surprise, #ffb961
cirno_hairband, #b15a75
cirno_wings, #b15a75
clay_saucer, #ffffff
coffee_beans, #c5b1a4
coffee_berries, #f0d6bc
coffee_mochi, #ffffff
coffee_powder, #ffe3d2
con_panna, #ffffff
cooked_flesh, #d6aca5
cooked_mandrake_root, #d9b179
cornflower_tea, #ffffff
crimson_handrail, #f1d7e1
cyan_ball_danmaku, #ffffff
cyan_bubble_danmaku, #ffffff
cyan_butterfly_danmaku, #ffffff
cyan_circle_danmaku, #ffffff
cyan_laser, #ffffff
cyan_mentos_danmaku, #ffffff
daiginjo, #fff8d9
dark_oak_handrail, #e1d4c8
dassai, #ffe8d4
doughnut, #ffc379
dried_fish, #ffffff
dried_mandrake_flower, #fff7ff
espresso, #ffffff
fairy_candy, #4bfffc
fairy_ice_crystal, #ffffff
fine_grid_framed_shoji, #d9bb94
flesh, #f26861
flesh_chocolate_mousse, #ffffff
flesh_dumplings, #ffffff
flesh_feast, #c9b2a5
flesh_roll, #fffaf2
flesh_stew, #ffffea
frozen_frog_cold, #b9e7ff
frozen_frog_temperate, #dae4ff
frozen_frog_warm, #d6f2ff
full_moons_eve, #ffffed
genmai_tea, #ffffff
gray_ball_danmaku, #ffffff
gray_bubble_danmaku, #ffffff
gray_butterfly_danmaku, #ffffff
gray_circle_danmaku, #ffffff
gray_laser, #ffffff
gray_mentos_danmaku, #ffffff
green_ball_danmaku, #ffffff
green_bubble_danmaku, #ffffff
green_butterfly_danmaku, #ffffff
green_circle_danmaku, #ffffff
green_coffee_bean, #ffffff
green_laser, #ffffff
green_mentos_danmaku, #ffffff
green_tea, #ffffff
green_tea_leaves, #ebf2d7
green_water, #ffffff
grilled_eel_over_rice, #fff2da
higan_soup, #f8ffff
higi_chocolate, #aa947d
higi_doughnut, #d9b69e
ice_cube, #edffff
imitation_bear_paw, #fffff8
